Frequency (Hz)	Level (dB)
15.625000	-47.797112
31.250000	-58.707413
46.875000	-44.911407
62.500000	-38.665913
78.125000	-37.686142
93.750000	-37.893894
109.375000	-36.756660
125.000000	-38.129124
140.625000	-41.279137
156.250000	-39.528568
171.875000	-38.077511
187.500000	-39.406326
203.125000	-40.834740
218.750000	-40.733349
234.375000	-41.706501
250.000000	-43.399330
265.625000	-45.879562
281.250000	-47.930981
296.875000	-50.110729
312.500000	-52.366425
328.125000	-53.831875
343.750000	-55.739681
359.375000	-56.900101
375.000000	-58.154289
390.625000	-58.675468
406.250000	-59.466679
421.875000	-59.743298
437.500000	-60.124496
453.125000	-62.253857
468.750000	-62.637680
484.375000	-63.373676
500.000000	-65.011749
515.625000	-66.263130
531.250000	-66.705147
546.875000	-67.003288
562.500000	-67.484085
578.125000	-67.752640
593.750000	-67.693062
609.375000	-68.038788
625.000000	-68.219238
640.625000	-68.176247
656.250000	-67.989883
671.875000	-69.138031
687.500000	-69.087242
703.125000	-69.070053
718.750000	-69.026306
734.375000	-69.316971
750.000000	-69.907036
765.625000	-69.601555
781.250000	-69.477798
796.875000	-69.856987
812.500000	-70.100693
828.125000	-69.405251
843.750000	-69.351799
859.375000	-69.988594
875.000000	-70.204025
890.625000	-69.624802
906.250000	-69.923820
921.875000	-70.103188
937.500000	-70.652596
953.125000	-70.607750
968.750000	-70.597328
984.375000	-70.805496
1000.000000	-70.701508
1015.625000	-70.525780
1031.250000	-70.358406
1046.875000	-70.965393
1062.500000	-70.943954
1078.125000	-71.027534
1093.750000	-71.456909
1109.375000	-71.125366
1125.000000	-71.071678
1140.625000	-71.230995
1156.250000	-71.533195
1171.875000	-71.758636
1187.500000	-71.779121
1203.125000	-71.658531
1218.750000	-71.757408
1234.375000	-71.618164
1250.000000	-71.421150
1265.625000	-71.646507
1281.250000	-72.267136
1296.875000	-71.959496
1312.500000	-71.838249
1328.125000	-72.220665
1343.750000	-72.427223
1359.375000	-72.346031
